,Date,Nom de l'activité,Description
16,12 Juil 2022,Cherche et trouve Charlie,En partenariat avec les éditions Gründ. 7-11 ans Inscription obligatoire
17,12 Juil 2022,Soirée jeux vidéo rétro gaming,Dès 6 ans Nombre de places limité
18,13 Juil 2022,Sortie d’initiation à la pêche à pied,Pêche aux palourdes.
19,13 Juil 2022,Les Fatals Picards en concert,Captain Spark + Les Fatals Picards + DJ Homard
20,13 Juil 2022,Chasse aux œufs de raies,Suivez la présence des raies ovipares des côtes françaises à travers une animation ludique permettant de recenser les échouages de capsules d’œufs de raies.
21,13 Juil 2022,Feu d’artifice,
22,13 Juil 2022,Les ateliers d’Isa,Ateliers de pratiques artistiques : aquarelle ou acrylique accessibles aux enfants et aux adultes.
23,13 Juil 2022/18 Juil 2022,Balade d’Anton,1h45 de découverte 100%nature.
24,13 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
25,13 Juil 2022,Journée Jeux coopératifs,Tous publics.
26,14 Juil 2022,Courses hippiques,
27,14 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
28,14 Juil 2022,Découverte du Tir à l’arc,
29,14 Juil 2022,Défilé du 14 juillet,"Régalez-vous en observant des voitures de collections au départ de l’espace culturel Avec la présence de l’association des anciens combattants, de la SNSM ,des pompiers et de la gendarmerie ..."
30,15 Juil 2022,Sortie d’initiation à la pêche à pied,Pêche aux palourdes.
31,15 Juil 2022,Concours de pétanque,Ouvert à tous. 10€ par doublette
32,15 Juil 2022,Tournoi de Beach Volley,Venez seul ou entre amis vous affrontez ! Inscriptions sur place
33,15 Juil 2022,Les ateliers d’Isa,Ateliers de pratiques artistiques : aquarelle ou acrylique accessibles aux enfants et aux adultes.
34,15 Juil 2022,Atelier bracelet de l’amitié,Inscription obligatoire.
35,16 Juil 2022/22 Juil 2022,Tournoi des jeunes – Challenge du Cotentin,"Tournoi des jeunes homologué FFT. Filles et garçons, simples et doubles, toutes catégories."
36,16 Juil 2022,Baptiste Ventadour en concert,"L'élan folk irrésistible d'une douze cordes, la clarté des émotions, la ferveur d'une voix de bluesman juvénile, la limpidité des intentions."
37,16 Juil 2022,Jeux en plein air,"Échecs, puissance 4, spikeball, etc…"
38,16 Juil 2022,Le Bal du bourg d’Agon,"Animations, concerts, petite restauration, des tables, des bancs, des fanions, des ami(e)s,… Une guinguette de village en somme."
39,17 Juil 2022,Marché d’Antiquités-Brocante,Marché mensuel.
40,17 Juil 2022,Concours de pêche,Pêche à la canne à coup sans moulinet.
41,18 Juil 2022/22 Juil 2022,Réveil musculaire,"Du 4 juillet au 26 août, du lundi au vendredi. Gymnastique et détente musculaire. Accessible à tous niveaux. Pensez à prendre quelques affaires : Short/jogging Tapis de gym/serviette Gourde/ ..."
42,18 Juil 2022,Stage de danse Géraldine TATARD,2 Ateliers de danse pour : ados/adultes ou jeunes enfants Ateliers d’improvisation autour du mouvement dansé.   Ateliers de danse Mouvement Libre par Géraldine Tatard Passionnée par le ...
43,18 Juil 2022,Balade matinale,1h45 de découverte 100%nature.
44,19 Juil 2022,Partir en Livre,Cette année encore Agon-Coutainville s’inscrit dans cette manifestation nationale pour promouvoir la lecture des jeunes ! Thème « L’amitié » Programme (en cours…) 10h – 10h40 : Lecture ...
45,19 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
46,19 Juil 2022,Découverte du Tir à l’arc,
47,19 Juil 2022,La Balade Gourmande,1h45 de découverte 100%nature.
48,20 Juil 2022,Olympiades,Une multitude de jeux par équipe ! Programme à suivre Des lots à gagner pour l’équipe vainqueur. La présence d’un adulte accompagnant est obligatoire. Inscription auprès de l’office de ...
49,20 Juil 2022/22 Juil 2022,Les ateliers d’Isa,Ateliers de pratiques artistiques : aquarelle ou acrylique accessibles aux enfants et aux adultes.
